bank,portfolio,STAGE,am,rate_init,rate,am19,rate_init19,rate19
CREDO,CONS,ST2_3,8946,7.7054,2.3897,1381,2.5527,2.3546
CREDO,CONS,ST2_1,646,0.5564,0.1726,191,0.353,0.3257
CREDO,CONS,ST3_1,62,0.102,0.0178,45,0.2866,0.2381
CREDO,PAWN,ST1_2,356,0.0913,0.0884,90,0.0197,0.0212
CREDO,PAWN,ST3_2,0,0,0,0,0,0
CREDO,PAWN,ST1_3,0,0,0,0,0,0
CREDO,PAWN,ST2_3,38,1.2667,0.219,40,1.5385,1.4286
CREDO,PAWN,ST2_1,5,0.1667,0.0288,28,1.0769,1
CREDO,PAWN,ST3_1,0,0,0,13,0,0
CREDO,TUR_MC,ST2_1,37,0,0.0074,16,0.3333,0.1029
CREDO,TUR_MC,ST1_2,9503,4.6596,0.7947,226,0.6807,0.0253
CREDO,TUR_MC,ST3_2,0,0,0,0,0,0
CREDO,TUR_MC,ST1_3,0,0,0,0,0,0
CREDO,TUR_MC,ST2_3,151,4.4615,0.0303,102,2.125,0.6559
PASHA,CORP,ST1_2,34943,0.2211,0.2494,0,0,0
PASHA,CORP,ST1_3,0,0,0,840,0.0051,0.0052
PASHA,MSME,ST1_2,43752,0.3096,0.3343,1733,0.0639,0.0206
PASHA,MSME,ST1_3,3843,0.0272,0.0294,0,0,0
PASHA,MSME,ST2_3,3205,1.7727,0.142,0,0,0
PASHA,MSME,ST2_1,3138,1.7356,0.139,0,0,0
PASHA,CONS,ST2_1,3,0.0361,0.0069,0,0,0
PASHA,CONS,ST1_2,529,0.3473,0.099,83,0.0987,0.0702
PASHA,CONS,ST1_3,0,0,0,9,0,2
TERA,MSME,ST1_2,135485,0.2724,0.2689,13791,0.0328,0.0301
TERA,MSME,ST3_2,32,0.0014,0.0013,953,0.0544,0.048
TERA,MSME,ST1_3,7029,0.0141,0.014,6590,0.0157,0.0144
TERA,MSME,ST2_3,5005,0.2896,0.0585,6776,0.4972,0.4384
TERA,MSME,ST2_1,0,0,0,27,0.002,0.0017
TERA,MSME,ST3_1,205,0.0092,0.0084,238,0.0136,0.012
TERA,CONS,ST1_2,7281,0.0825,0.0828,1838,0.0202,0.0205
TERA,CONS,ST3_2,0,0,0,6,0.0011,0.0011
TERA,CONS,ST1_3,1344,0.0152,0.0153,1698,0.0186,0.0189
TERA,CONS,ST2_3,485,0.1542,0.0774,628,0.186,0.1926
TERA,CONS,ST2_1,95,0.0302,0.0152,142,0.042,0.0435
TERA,CONS,ST3_1,22,0.0043,0.0043,177,0.0326,0.0335
TERA,IPO,ST1_2,9483,0.108,0.1009,1409,0.0162,0.0161
TERA,IPO,ST3_2,0,0,0,0,0,0
TERA,IPO,ST1_3,227,0.0026,0.0024,788,0.0097,0.009
TERA,IPO,ST2_3,224,0.1168,0.0334,142,0.1628,0.1124
TERA,PAWN,ST3_1,138,0.0044,0.0045,0,0,0
CARTU,CORP,ST1_2,62742,0.1204,0.107,25989,0.063,0.0557
CARTU,CORP,ST3_2,0,0,0,8957,0.0255,0.0285
